"utterances","intent","answers"
"[""Good Morning"",""Morning"",""very good morning""]","Good Morning","[{""id"":""1"",""answer"":""<p>Good Morning</p>"",""options"":[],""label"":""Good Morning"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/de1d7610-8679-4d78-b849-a832c3147b9e_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Good-Morning-mobile.m4v""}]"
"[""Good Afternoon"",""Afternoon"",""Very Good Afternoon""]","Good Afternoon","[{""id"":""1"",""answer"":""<p>Good Afternoon</p>"",""options"":[],""label"":""Good Afternoon"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/42bf45ee-f976-4235-9326-985b72593cff_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Good-Afternoon-mobile.m4v""}]"
"[""Good Evening"",""Evening"",""hi good evening""]","Good Evening","[{""id"":""1"",""answer"":""<p>Good Evening</p>"",""options"":[],""label"":""Good Evening"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/dee28402-41b5-4930-ad09-315c67a2173e_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Good-Evening-mobile.m4v""}]"
"[""thanks"",""bye"",""thank you""]","Thank you","[{""id"":""1"",""answer"":""<p>Thank you for talking to me today. Hope your queries were resolved.</p>"",""options"":[],""label"":""Thank you"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/56f006b1-7375-450a-b15a-21dcd6a7bd28_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Thank-you-for-talking-to-me-today-Hope-your-queries-were-resolved-mobile.m4v""}]"
"[""What is Insurance"",""meaning Insurance"",""about insurance""]","Meaning Insurance","[{""id"":""1"",""answer"":""<p>Insurance policy is a contract between an individual and an insurance provider, in which the insurance company gives financial protection to the policyholder in exchange for monthly fees (known as premiums).</p>"",""options"":[],""label"":""What is Insurance?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/f17c2657-6af1-448e-a733-a39a464db808_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-Insurance-mobile.m4v""}]"
"[""Namaste"",""Namaskar""]","Namaste","[{""id"":""1"",""answer"":""<p>Namaste</p>"",""options"":[],""label"":""Namaste"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/7cc1829d-fc3c-47ea-909f-591942d9c6f8_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Namaste-mobile.m4v""}]"
"[""Howza"",""hauser""]","How are you?","[{""id"":""1"",""answer"":""<p>I am fine, thank you</p>"",""options"":[],""label"":""How are you?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/6a01a6d4-fec5-49e2-8efc-b2de3ac4848f_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/I-am-fine-thank-you-mobile.m4v""}]"
"[""please specify  name?"",""Who are you?"",""name please "",""suggest your name please""]","Name","[{""id"":""1"",""answer"":""<p>My name is GINA</p>"",""options"":[],""label"":""What is your name?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/83e882fd-b192-4204-b8f3-c77683998ef7_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/My-name-is-GINA-Desktop.m4v""}]"
"[""hi"",""hello"",""heygina"",""hey""]","Hi","[{""id"":""1"",""answer"":""<p>Hi</p>"",""options"":[],""label"":""Hi"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/4516d501-bda7-4506-8082-8523561e8f67_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Hi-mobile.m4v""}]"
"[""How are you?"",""How are you doing?"",""how r u"",""what are you doing"",""hi gina how are you""]","How","[{""id"":""1"",""answer"":""<p>I am fine, thank you.</p>"",""options"":[],""label"":""How are you?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/255b6c94-acae-4aea-a743-d6bc7476e78b_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/I-am-fine-thank-you-mobile.m4v""}]"
"[""What is Life Insurance? "", ""Tell me something about Life Insurance? "",""Life Insurance"",""what is the meaning of life insurance?""]","Life Insurance","[{""id"":""1"",""answer"":""<p>Life insurance policy is a contract between an individual and an insurance provider, in which the insurance company gives financial protection to the policy holder in exchange for regular fees (known as premiums).</p>"",""options"":[],""label"":""What is Life Insurance?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/ed7fa1db-9b08-4e3e-97ca-de3e57358c39_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-Life-Insurance-mobile.m4v""}]"
"[""Why is it important to have Life Insurance?"", ""What are the benefits of purchasing a Life Insurance plan?"", ""Why is buying Life Insurance a good idea?"", ""Why should you consider Life Insurance?"",""Why should you buy Life Insurance?"",""Benefits of life insurance""]","Benefits of life insurance","[{""id"":""1"",""answer"":""<p>Life Insurance is an important financial instrument that helps protect the family from potential financial losses that may be incurred post the unfortunate demise of the breadwinner. The Life Insurance benefits that the family members receive, will help pay off debts, meet regular living expenses, and support various life goals.</p>"",""options"":[],""label"":""Why is it important to have Life Insurance?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c503e64e-a965-4dca-84e6-351139fb1046_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/Why-is-it-important-to-have-Life-Insurance-mobile.m4v""}]"
